"Comparison","P_value","Adjusted_P_value"
"No vs NS",7.41276956200042e-164,3.89170402005022e-163
"No vs BSI",0,0
"No vs UPEC",0,0
"No vs ExPEC",1.152848528929e-100,4.03496985125149e-100
"No vs APEC",1.4765080806841e-83,4.4295242420523e-83
"No vs Respiratory",1.02074600384262e-31,1.94869691642682e-31
"NS vs BSI",2.43517886709824e-123,1.02277512418126e-122
"NS vs UPEC",0,0
"NS vs ExPEC",9.57632585860032e-28,1.67585702525506e-27
"NS vs APEC",1.41248477873545e-40,2.96621803534444e-40
"NS vs Respiratory",6.90864361608792e-12,1.03629654241319e-11
"BSI vs UPEC",1.20191118101358e-40,2.80445942236503e-40
"BSI vs ExPEC",5.00341519490168e-06,6.18068935840796e-06
"BSI vs APEC",1.93229347818529e-06,2.70521086945941e-06
"BSI vs Respiratory",0.843855040338683,0.886047792355617
"UPEC vs ExPEC",1.97960704952019e-51,5.19646850499049e-51
"UPEC vs APEC",0.956010995234553,0.956010995234553
"UPEC vs Respiratory",4.00241173947368e-06,5.25316540805921e-06
"ExPEC vs APEC",4.97401638723807e-12,8.03494954861535e-12
"ExPEC vs Respiratory",0.0516493901700806,0.0570861680827207
"APEC vs Respiratory",0.000492497885453177,0.00057458086636204
